,hindi,english
683,प्रारंभ,Start
684,अंत,End
685,बहुत अधिक चयनीय शिशु हैं,Too many selectable children
686,तेज चुनाव,Quick Select
687,प्लग-इन जिसमें हैं एक्सेसेबेलों को तेजी से चुनने के लिए कई विधियां,Plugin with various methods of selecting accessibles quickly.
688,अंतिम बार फोकस किए गए एक्सेसेबल को जांचें,Inspect last focused accessible
689,"माउस के अधीन जो एक्सेसेबल है, उसे जांचें",Inspect accessible under mouse
690,स्कीमाः,Sche _ ma:
691,सत्यापन,V _ alidate
692,खाली,Idle
693,कोई विवरण नहीं,No description
694,एटी-एसपीआई सत्यापक,AT - SPI Validator
695,अनुप्रयोग की पहुंचनीयता का सत्यापन करता है,Validates application accessibility
696,स्तर,Level
697,भूमिका,Role
698,सहेज रहे हैं,Saving
699,पुष्टि कर रहे हैं,Validating
700,अपवाद,EXCEPT
701,त्रुटि,ERROR
702,चेतावनी,WARN
703,सूचना,INFO
704,दोषमुक्त करें,DEBUG
705,मूल,Basic
706,मूलभूत जीयूआई अनुप्रयोग पहुंचनीयता का परीक्षण करता है,Tests fundamental GUI application accessibility
707,"% s जिस पर कार्रवाई हो सकती है, वह न तो फोकस करने योग्य है न ही चयनीय",actionable% s is not focusable or selectable
708,अंतर्क्रियात्मक% s कार्रवाई करने योग्य नहीं है,interactive% s is not actionable
709,एक से अधिक विडजेट फोकस में है,more than one focused widget
710,% s का कोई पाठ अंतराफलक नहीं है,% s has no text interface
711,अभिभावक में% s सूची शिशु सूची सेमेल नहीं खाती,% s index in parent does not match child index
712,% s संबंध के लिए अन्योन्य गायब है,Missing reciprocal for% s relation
713,% s गायब नाम या सूचक,% s missing name or label
714,"फोकस योग्य% s में सारणी अंतराफलक है, कोई चयनीय अंतराफलक नहीं हैbutton has focused state without focusable state","focusable% s has a table interface, but not a selection interface"
715,"% s में% s स्थिति है, पर उसके साथ% s स्थिति नहीं है",% s has% s state without% s state
716,% s किसी समुच्चय का सदस्य नहीं है,% s does not belong to a set
717,% (rolename) s सूची% (num) d पंक्ति और स्तंभ से मेल नहीं खातेparent indexrow and column index,% (rolename) s index% (num) d does not match row and column
718,% (rolename) s अभिभावक सूची% (num1) d पंक्ति और स्तंभ सूची% (num2) d से मेल नहीं खाते,% (rolename) s parent index% (num1) d does not match row and column index% (num2) d
719,% s का कोई नाम या विवरण नहीं,% s has no name or description
720,पसंद (_ P)... ,_ Preferences...
721,विषय सूची (_ C) ,_ Contents
722,एक्सेरसाइसर आपके डेस्कटोप में मौजूद अनुप्रयोग नहीं देख पाया। इस समस्या के समाधान के लिए आपको डेस्कटोप पहुंचनीयता को सक्रिय करना होगा। क्या आप इसे सक्रिय करना चाहते हैं? ,Accerciser could not see the applications on your desktop. You must enable desktop accessibility to fix this problem. Do you want to enable it now?
723,टिप्पणीः परिवर्तन सत्रांत (लोगआउट) के बाद ही प्रभाव में आएंगे। ,Note: Changes only take effect after logout.
724,शिशु,Children
725,पंजी ताजा करें (_ R) ,_ Refresh Registry
726,सभी को ताजा करें,Refresh all
727,आसंधि (नोड) को ताजा करें (_ N) ,Refresh _ Node
728,चुनी गई आसंधियों (नोड) के शिशुओं को ताजा करें,Refresh selected node 's children
729,घटक,Component
730,कार्य,Task
731,कुंजी,Key
732,आल्ट,Alt
733,कंट्रोल,Ctrl
734,शिफ्ट,Shift
735,ऊपरी पटल,Top panel
736,निचला पटल,Bottom panel
737,एक्सेर्साइसर पसंद,accerciser Preferences
738,प्लगइन्स,Plugins
739,सार्वत्रिक फटाफट कुंजियां,Global Hotkeys
740,हाइलाइटन,Highlighting
741,हाइलाइट अवधिः,Highlight duration:
742,सीमांत रंगः,Border color:
743,हाइलाइट बक्से का सीमांत रंग,The border color of the highlight box
744,भराई का रंगः,Fill color:
745,हाइलाइट बक्से का भराई रंग,The fill color of the highlight box
746,रविशंकर श्रीवास्तव (raviratlami @yahoo. com) राजेश रंजन (rajeshkajha @yahoo. com) ल. बालसुब्रमण्यम (l. balasubramaniam @gmail. com) ,translator - credits
747,एक अंतर्क्रियात्मक पाइथन पहुंचनीयता अन्वेषक,An interactive Python accessibility explorer
748,"एक्सेर्साइसर सर्वाधिकार © 2006,2007 आईबीएम निगम (बीएसडी) ","accerciser Copyright (c) 2006, 2007 IBM Corporation (BSD)"
749,नया बीएसडी लाइसेन्स विवरण के लिए देखिए प्रतिलिपीकरण और सूचना फाइलें,The New BSD License See the COPYING and NOTICE files for details.
750,जाल स्थल,Web site
751,पसंद जोड़ें... (_ A) ,_ Add Bookmark...
752,चुने गए एक्सेसेबलों को पुस्तक-चिह्नित करें,Bookmark selected accessible.
753,पुस्तक चिह्न संपादित करें (_ E)... ,_ Edit Bookmarks...
754,पुस्तक-चिह्नों को प्रबंधित करें। ,Manage bookmarks.
755,पुस्तक चिह्नों को संपादित करें... ,Edit Bookmarks...
756,शीर्षक,Title
757,अनुप्रयोग,Application
758,पथ,Path
759,पुस्तक-चिह्न जोड़ें... ,Add Bookmark...
760,शीर्षकः,Title:
761,अनुप्रयोगः,Application:
762,पथः,Path:
763,प्लग-इन त्रुटियां,Plugin Errors
764,दृश्य,View
765,कोई दृश्य नहीं है,No view
766,एकल प्लग-इन दृश्य,_ Single plugins view
767,प्लग-इन दृश्य,Plugin View
768,प्लग-इन दृश्य (% d) ,Plugin View (% d)
769,नया दृश्य... ,_ New view...
770,नया दृश्य... ,New View...
771,फाइल (F) ,_ File
772,संपादित करें,_ Edit
773,पुस्तक-चिह्न संपादित करें (_ E)... ,_ Bookmarks
774,दृश्य _ (V) ,_ View
775,मदद,_ Help
776,एक्सेर्साइसर,Accerciser
777,अपने अनुप्रयोग को पहुंचनीयता व्यायाम का लाभ दें,Give your application an accessibility workout
778,एक्सेर्साइसर पहुंचनीयता अन्वेषक,Accerciser Accessibility Explorer
779,उन प्लग-इनों की सूची जिन्हें डिफोल्ट रूप से निष्क्रिय किया गया है,A list of plugins that are disabled by default
780,उन प्लग-इनों की सूची जिन्हें डिफोल्ट रूप से निष्क्रिय किया गया है,A list of plugins that are disabled by default.
781,अवधि को हाइलाइट रकें,Highlight duration
782,पहुंचनीय आसंधि नोड को चुनते समय हाइलाइट बक्से की अवधि. ,The duration of the highlight box when selecting accessible nodes.
783,भराई के रंग को हाइलाइट करें,Highlight fill color
784,हाइलाइट किया गया भराई का रंग और पारदर्शिता। ,The color and opacity of the highlight fill.
785,सीमांत (बोर्डर) के रंग को हाइलाइट करें,Highlight border color
786,हाइलाइट किए गए सीमांत का रंग और अपारदर्शिता। ,The color and opacity of the highlight border.
787,क्षैतिज विभाजन,Horizontal split
788,मुख्य विंडो की क्षैतिज विभाजन की स्थिति. ,Position of the horizontal split of the main window.
789,अनुलंब विभाजित,Vertical split
790,मुख्य विंडो की अनुलंब विभाजित की स्थिति. ,Position of the vertical split of the main window.
791,तयशुदा विंडो ऊंचाई,Default window height
792,विंडो की ऊंचाई का मान. ,The window height value.
793,तयशुदा विंडो चौड़ाई,Default window width
794,विंडो चौड़ाई मान. ,The window width value.
795,नीचे के पैनल के लिए लेआउट,The layout for the bottom panel
796,नीचे पैनल pluginview के लिए लेआउट. ,The layout for the bottom panel pluginview.
797,ऊपरी पटल के लिए खाका,The layout for the top panel
798,शीर्ष पैनल pluginview के लिए लेआउट. ,The layout for the top panel pluginview.
799,एकल लेआउट दृश्य,Single layout view
800,एक ही खाका में प्लगिन देखें. ,View plugins in a single layout.
801,नई pluginviews उपलब्ध है,Available new pluginviews
802,इस सूची में सभी नई उपलब्ध pluginviews शामिल हैं,This list contains all the new available pluginviews
803,pluginview लेआउट,The pluginview layout
804,ऊपरी पटल के लिए डिफोल्ट प्लग-इन खाका. ,The default plugin layout for the top panel.
805,विंडो की ऊँचाई,Window height
806,विंडो की ऊंचाई का मान. ,Window height value.
807,विंडो की चौड़ाई,Window width
808,विंडो चौड़ाई मान. ,Window width value.
809,hotkey संयोजन,Hotkey combination
810,संबंधित कार्रवाई के लिए hotkey संयोजन. ,Hotkey combination for related action.
811,एपीआई विचरक,API Browser
812,"इस समय जिसे प्राप्त किया गया हो, उसकी विभिन्न विधियों (मेथड) में विचरण करें",Browse the various methods of the current accessible
813,निजी गुणों को छिपाएं,Hide private attributes
814,विधि,Method
815,गुणधर्म,Property
816,मान,Value
817,आईपाइथन कन्सोल,IPython Console
818,इस समय चुने गए एक्सेसेबेल से काम लेने के लिए अंतर्क्रियात्मक कन्सोल,Interactive console for manipulating currently selected accessible
819,घटना मानिटर,Event monitor
820,घटनाओं को मानिटर करें (_ M) ,_ Monitor Events
821,चुनाव को हटाएं (C _) ,C _ lear Selection
822,सभी,Everything
823,चुने गए अनुप्रयोग,Selected application
824,चुने गए एक्सेसेबेल,Selected accessible
825,स्रोत,Source
826,घटना मानिटर,Event Monitor
827,"चुने गए प्रकारों और स्रोतों से घटनाएं जैसे-जैसे घटित होती हैं, उन्हें दर्शाता है",Shows events as they occur from selected types and sources
828,अंतिम प्रविष्ट घटना को हाइलाइट करो,Highlight last event entry
829,घटना रेकोर्डिंग शुरू करो/रोको,Start / stop event recording
830,घटना रोजनामचा मिटाओ,Clear event log
831,बाल गणना,Child count
832,(कोई विवरण नहीं) ,(no description)
833,वर्णन,Description
834,राज्य,States
835,दिखाएं,Show
836,संबंध,Relations
837,गुणधर्म,Attributes
838,पहुंचनीय,_ Accessible
839,कार्रवाई संपन्न करें,Perform action
840,कार्रवाई (_ o) ,Acti _ on
841,आईडी,ID
842,औजार बक्सा,Toolkit
843,संस्करण,Version
844,अनुप्रयोग,Ap _ plication
845,संग्रह,Col _ lection
846,"0, 0","0, 0"
847,सापेक्ष स्थिति,Relative position
848,आकार,Size
849,विडजेट,WIDGET
850,स्तर,Layer
851,एमडीआई-जेड-क्रम,MDI - Z - order
852,अल्फा,Alpha
853,निरपेक्ष स्थिति,Absolute position
854,घटक,Co _ mponent
855,डेस्कटोप,Des _ ktop
856,स्थान-विशिष्टः,Locale:
857,प्रलेख,_ Document
858,हाइपरकड़ी,Hyperlink
859,हाइपरपाठ,H _ ypertext
860,स्थिति,Position
861,वर्णन,Description
862,स्थान-विशिष्ट,Locale
863,छवि (_ I) ,_ Image
864,प्रवेश सहायक,Lo _ gin Helper
865,सभी चुनें,Select All
866,चयन (_ S) ,_ Selection
867,प्रवाहित करनेयोग्य विषयवस्तु,St _ reamable Content
868,शीर्षकः,Caption:
869,सारांशः,Summary:
870,चुने गए स्तंभ,Selected columns
871,चुनी गई पंक्तियां,Selected rows
872,स्तंभ,Columns
873,पंक्तियां,Rows
874,सारणी सूचना,Table Information
875,"नाम (x, y) ","name (x, y)"
876,शीर्षकः,Header:
877,विस्तारः,Extents:
878,पंक्ति,Row
879,स्तंभ,Column
880,चुनी गई कोशिका,Selected Cell
881,सारणी (_ T) ,_ Table
882,पाठ,Text
883,ओफसेट,Offset
884,डिफोल्टों को शामिल करें,Include defaults
885,प्रारंभः 0,Start: 0
886,अंतः 0,End: 0
887,पाठ (_ x) ,Te _ xt
888,मौजूदा मान,Current value
889,न्यूनतम वृद्धि,Minimum increment
890,अधिकतम मान,Maximum value
891,न्यूनतम मान,Minimum value
892,मान,Val _ ue
893,अज्ञात,unknown
894,अंतराफलक दर्शक,Interface Viewer
895,अंतराफलक के विभिन्न गुणों को देखने देता है,Allows viewing of various interface properties
896,(क्रियान्वित नहीं हुआ है) ,(not implemented)
897,नाम,Name
898,यूआरआई,URI
899,प्रारंभ,Start
900,अंत,End
901,बहुत अधिक चयनीय शिशु हैं,Too many selectable children
902,(संशोधनीय) ,(Editable)
903,तेज चुनाव,Quick Select
904,प्लग-इन जिसमें हैं एक्सेसेबेलों को तेजी से चुनने के लिए कई विधियां,Plugin with various methods of selecting accessibles quickly.
905,अंतिम बार फोकस किए गए एक्सेसेबल को जांचें,Inspect last focused accessible
906,"माउस के अधीन जो एक्सेसेबल है, उसे जांचें",Inspect accessible under mouse
907,स्कीमाः,Sche _ ma:
908,सत्यापन,V _ alidate
909,खाली,Idle
910,कोई विवरण नहीं,No description
911,एटी-एसपीआई सत्यापक,AT - SPI Validator
912,अनुप्रयोग की पहुंचनीयता का सत्यापन करता है,Validates application accessibility
913,स्तर,Level
914,भूमिका,Role
915,सहेज रहे हैं,Saving
916,पुष्टि कर रहे हैं,Validating
917,अपवाद,EXCEPT
918,त्रुटि,ERROR
919,चेतावनी,WARN
920,सूचना,INFO
921,दोषमुक्त करें,DEBUG
922,मूल,Basic
923,मूलभूत जीयूआई अनुप्रयोग पहुंचनीयता का परीक्षण करता है,Tests fundamental GUI application accessibility
924,"% s जिस पर कार्रवाई हो सकती है, वह न तो फोकस करने योग्य है न ही चयनीय",actionable% s is not focusable or selectable
925,अंतर्क्रियात्मक% s कार्रवाई करने योग्य नहीं है,interactive% s is not actionable
926,एक से अधिक विडजेट फोकस में है,more than one focused widget
927,% s का कोई पाठ अंतराफलक नहीं है,% s has no text interface
928,अभिभावक में% s सूची शिशु सूची सेमेल नहीं खाती,% s index in parent does not match child index
929,% s संबंध के लिए अन्योन्य गायब है,Missing reciprocal for% s relation
930,% s गायब नाम या सूचक,% s missing name or label
931,"फोकस योग्य% s में सारणी अंतराफलक है, लेकिन कोई चयनीय अंतराफलक नहीं हैbutton has focused state without focusable state","focusable% s has a table interface, but not a selection interface"
932,"% s में% s स्थिति है, पर उसके साथ% s स्थिति नहीं है",% s has% s state without% s state
933,% s किसी समुच्चय का सदस्य नहीं है,% s does not belong to a set
934,% (rolename) s सूची% (num) d पंक्ति और स्तंभ से मेल नहीं खातेparent indexrow and column index,% (rolename) s index% (num) d does not match row and column
935,% (rolename) s अभिभावक सूची% (num1) d पंक्ति और स्तंभ सूची% (num2) d से मेल नहीं खाते,% (rolename) s parent index% (num1) d does not match row and column index% (num2) d
936,% s का कोई नाम या विवरण नहीं,% s has no name or description
937,पसंद (_ P)... ,_ Preferences...
938,विषय सूची (_ C) ,_ Contents
939,एक्सेरसाइसर आपके डेस्कटोप में मौजूद अनुप्रयोग नहीं देख पाया। इस समस्या के समाधान के लिए आपको डेस्कटोप पहुंचनीयता को सक्रिय करना होगा। क्या आप इसे सक्रिय करना चाहते हैं? ,Accerciser could not see the applications on your desktop. You must enable desktop accessibility to fix this problem. Do you want to enable it now?
940,टिप्पणीः परिवर्तन सत्रांत (लोगआउट) के बाद ही प्रभाव में आएंगे। ,Note: Changes only take effect after logout.
941,<dead> ,< dead >
942,शिशु,Children
943,बच्चों के बिना अनुप्रयोग छिपाएँ/दिखाएँ (_ H) ,_ Hide / Show Applications without children
944,पंजी ताजा करें (_ R) ,_ Refresh Registry
945,सभी को ताजा करें,Refresh all
946,आसंधि (नोड) को ताजा करें (_ N) ,Refresh _ Node
947,चुनी गई आसंधियों (नोड) के शिशुओं को ताजा करें,Refresh selected node 's children
948,घटक,Component
949,कार्य,Task
950,कुंजी,Key
951,आल्ट,Alt
952,कंट्रोल,Ctrl
953,शिफ्ट,Shift
954,ऊपरी पटल,Top panel
955,निचला पटल,Bottom panel
956,एक्सेर्साइसर पसंद,accerciser Preferences
957,प्लगइन्स,Plugins
958,सार्वत्रिक फटाफट कुंजियां,Global Hotkeys
959,हाइलाइटन,Highlighting
960,हाइलाइट अवधिः,Highlight duration:
961,सीमांत रंगः,Border color:
962,हाइलाइट बक्से का सीमांत रंग,The border color of the highlight box
963,भराई का रंगः,Fill color:
964,हाइलाइट बक्से का भराई रंग,The fill color of the highlight box
965,रविशंकर श्रीवास्तव (raviratlami @yahoo. com) राजेश रंजन (rajeshkajha @yahoo. com) ल. बालसुब्रमण्यम (l. balasubramaniam @gmail. com) ,translator - credits
966,एक अंतर्क्रियात्मक पाइथन पहुंचनीयता अन्वेषक,An interactive Python accessibility explorer
967,"एक्सेर्साइसर सर्वाधिकार (c) 2006,2007 आईबीएम निगम (बीएसडी) ","accerciser Copyright (c) 2006, 2007 IBM Corporation (BSD)"
968,नया बीएसडी लाइसेन्स विवरण के लिए देखिए प्रतिलिपीकरण और सूचना फाइलें,The New BSD License See the COPYING and NOTICE files for details.
969,जाल स्थल,Web site
970,पसंद जोड़ें... (_ A) ,_ Add Bookmark...
971,चुने गए एक्सेसेबलों को पुस्तक-चिह्नित करें,Bookmark selected accessible.
972,पुस्तक चिह्न संपादित करें (_ E)... ,_ Edit Bookmarks...
973,पुस्तक-चिह्नों को प्रबंधित करें। ,Manage bookmarks.
974,पुस्तक चिह्नों को संपादित करें... ,Edit Bookmarks...
975,शीर्षक,Title
976,अनुप्रयोग,Application
977,पथ,Path
978,पुस्तक-चिह्न जोड़ें... ,Add Bookmark...
979,शीर्षकः,Title:
980,अनुप्रयोगः,Application:
981,पथः,Path:
982,प्लग-इन त्रुटियांviewport,Plugin Errors
983,दृश्य,View
984,कोई दृश्य नहीं है,No view
985,एकल प्लग-इन दृश्य,_ Single plugins view
986,प्लग-इन दृश्य,Plugin View
987,प्लग-इन दृश्य (% d) ,Plugin View (% d)
988,नया दृश्य... (_ N) ,_ New view...
989,नया दृश्य... ,New View...
990,फाइल (F) ,_ File
991,संपादित करेंmenu,_ Edit
992,पसंद (_ B) menu,_ Bookmarks
993,दृश्य _ (V) ,_ View
994,मदद,_ Help
995,एक्सेर्साइसर,Accerciser
996,अपने अनुप्रयोग को पहुंचनीयता व्यायाम का लाभ दें,Give your application an accessibility workout
997,एक्सेर्साइसर पहुंचनीयता अन्वेषक,Accerciser Accessibility Explorer
998,उन प्लग-इनों की सूची जिन्हें डिफोल्ट रूप से निष्क्रिय किया गया है,A list of plugins that are disabled by default
999,उन प्लग-इनों की सूची जिन्हें डिफोल्ट रूप से निष्क्रिय किया गया है,A list of plugins that are disabled by default.
